风|wind
外面|outside
考场|exam hall
广场|square
以后|afterward
草场|grassland
周末|weekend
操场|playground
看望|visit
抽烟|smoke
办婚礼|get married
玩手机|play phone
别迟到|don't be late
别生气|don't get angry
别担心|don't worry
或者|or
运动场|sports field
跑步|run
打篮球|play basketball
打乒乓球|play ping-pong
踢足球|play football
别|don't
教|teach


