远|far
近|near
离|away from
地铁|subway
山西|Shanxi
陕西|Shaanxi
动物园|zoo
英雄广场|heroes square
有意思|interesting
没意思|boring
意思|meaning
幸福|happiness
就|exactly
就|just
学校|school
有人|some people
可以啊|sure
看见|see
国会大厦|parliament
歌剧院|opera
机场|airport
杜丽|duli name
左立|zuoli name
商店|store
超市|supermarket
北京外国语大学|Beijing foreign studies university
