文学|literature
书签|bookmark
小说|fiction
诗歌|poetry
指环王|The Lord of the Rings
哈利波特|Harry Potter
科幻小说|Science Fiction
三体|Three Body Problem
读|read
诗|poem
诗歌|poem
诗人|poet
自由|freedom
与|with
骄傲|proud
诗经|The Book Of Songs
圣经|Bible
经常|often
跟<和<与|with<and<with
歌词|lyrics
我爱看书。|I love reading books.
我还在读书。|I am still studying.
我还在上学。|I am still in school.
你还想读书吗？|Do you still want to study?
说话|speak
住|live
工作时间|work time
首|m.w.song, poem
一首歌|a song
一首诗|a poem
曲子|melody
