滑雪橇|sled
剧院|theater
幸运|lucky
免费|free
堆雪人|build snowman
临时工|temporary work
临时工作|temporary job
加班|overtime
熬夜|stay up late
平时学习？|regular 
还是临时抱佛脚？|Still cramming at the last minute?
简单|easy
容易|easy
临时|temporary
抱佛脚|cram for exam
就是|exactly
平时|regular times
开始|start
复习|review
开夜车|stay up
晚安|good night
写作业|write homework
