希望|hope
失望|disappointed
坏消息|bad news
被裁员|be laid off
首都|capital
音乐家|musician
画家|painter
发明|invent
铅笔|pencil
魔方|Rubik's cube
圆珠笔|ballpoint pen
好用|practical
李斯特|Liszt
中文|Chinese language
中文课|Chinese class
让|make, let
自己|self
想念|miss
想家|homesick
房子|house
门票|ticket
音乐会门票|concert ticket
动物园门票|zoo ticket
