就|then
如果_就_|if _ then _
对_感兴趣|interested in _
_和_一样_|_and_are the same as_
浪漫|romantic
爱情片|romance film
功夫片|kung fu film
一定|surely
一样|same
动画片|animated film
动作片|action film
网剧|web series
喜剧片|comedy film
动画电影|animated film
恐怖片|horror film
惊悚片|thriller
跟|and
要是|if
超人|superman
环球旅游|global tourism
全中国|whole China


