凉快|cool
周|week
周一|monday
公共汽车|bus
公交车|bus
虫|insect worm
贝|shell
坐船|take ship
船|ship
酒|alcohol
奶酪|cheese
牛奶|milk
一般|general
有的|some
果汁|fruit juice
香肠|sausage
脸书|facebook
腿|leg
胳膊|arm
热可可|hot cocoa
加|add something
黄油|butter
老虎|tiger
葡萄干|raisin
无花果干|dried fig
牛肉干|beef jerky
野生酸面包|wild sourdough bread
虎皮蛋糕|tiger bread
牛角包|croissant
萨拉米|salami
芝士面包|cheese bread
面包加萨拉米和奶酪|Bread with salami and cheese

