警察局|police station
理发店|barber shop
消防局|fire station
银行|bank|yínháng
加油|come on
酒店|hotel
教堂|church
彩虹|rainbow
公交车|bus
中间|between
加油站|gas station
左边|left
右边|right
对面|opposite
送礼物|give gift
送给|give to
送给|see off
送人|send someone off
便宜|cheap|piányi
贵|expensive
红烧肉|braised pork
食堂|canteen
早饭|breakfast
这里|here
豆浆|soy milk
鸡蛋|egg
最|the most

